N,REP,N_THREADS,PAR_LOOP,RUNNING_TIME,STDOUT
2400,1,8,1,31.879009582975414,-918667776
2400,1,8,2,9.356974918977357,-918667776
2400,1,9,0,0.6499660579720512,-918667776
2400,1,9,1,29.852469486999325,-918667776
2400,1,9,2,9.644204743031878,-918667776
2400,1,10,0,0.5929149920120835,-918667776
2400,1,10,1,28.087572067975998,-918667776
2400,1,10,2,10.22614025400253,-918667776
2400,1,11,0,0.5691269420203753,-918667776
2400,1,11,1,26.18021671596216,-918667776
2400,1,11,2,10.363342924974859,-918667776
2400,1,12,0,0.5039182109758258,-918667776
2400,1,12,1,24.653154584986623,-918667776
2400,1,12,2,10.873131103988271,-918667776
2400,1,13,0,0.48581460502464324,-918667776
2400,1,13,1,23.513345542014576,-918667776
2400,1,13,2,11.760663822002243,-918667776
2400,1,14,0,0.45300658204359934,-918667776
2400,1,14,1,22.02691637602402,-918667776
2400,1,14,2,11.951501813018695,-918667776
2400,1,15,0,0.4157839459949173,-918667776
2400,1,15,1,21.175578737049364,-918667776
2400,1,15,2,12.486990059027448,-918667776
2400,1,16,0,0.3990756669663824,-918667776
2400,1,16,1,19.98345897300169,-918667776
2400,1,16,2,12.95882702502422,-918667776
2400,1,17,0,0.3678406410035677,-918667776
2400,1,17,1,19.470019528991543,-918667776
2400,1,17,2,13.47267989401007,-918667776
2400,1,18,0,0.35728881001705304,-918667776
2400,1,18,1,18.48004602099536,-918667776
2400,1,18,2,14.028530762996525,-918667776
2400,1,19,0,0.33335559198167175,-918667776
2400,1,19,1,18.003570000000764,-918667776
2400,1,19,2,14.579710271034855,-918667776
2400,1,20,0,0.4053593930439092,-918667776
2400,1,20,1,18.218173734028824,-918667776
2400,1,20,2,14.649749414005782,-918667776
2400,2,1,0,5.071964695001952,-918667776
2400,2,1,1,77.35581101896241,-918667776
2400,2,1,2,5.017005765985232,-918667776
2400,2,2,0,2.545852004957851,-918667776
2400,2,2,1,82.19408394803759,-918667776
2400,2,2,2,6.162544079998042,-918667776
2400,2,3,0,1.7914078939938918,-918667776
2400,2,3,1,58.6429652129882,-918667776
2400,2,3,2,5.7864029629854485,-918667776
2400,2,4,0,1.3233843020279892,-918667776
2400,2,4,1,55.346955902990885,-918667776
2400,2,4,2,7.275321118009742,-918667776
2400,2,5,0,1.0913375559612177,-918667776
2400,2,5,1,44.54221329902066,-918667776
2400,2,5,2,6.712466870958451,-918667776
2400,2,6,0,0.9254511910257861,-918667776
2400,2,6,1,39.61691878299462,-918667776
2400,2,6,2,8.168570544046815,-918667776
2400,2,7,0,0.798473352973815,-918667776
2400,2,7,1,35.160746818000916,-918667776
2400,2,7,2,8.71027028298704,-918667776
2400,2,8,0,0.7394741749740206,-918667776
2400,2,8,1,32.28383605199633,-918667776
2400,2,8,2,8.654387508984655,-918667776
2400,2,9,0,0.6499382490292192,-918667776
2400,2,9,1,29.820925522013567,-918667776
2400,2,9,2,9.882680309994612,-918667776
2400,2,10,0,0.6070974639733322,-918667776
2400,2,10,1,28.064900567987934,-918667776
2400,2,10,2,10.161563606990967,-918667776
2400,2,11,0,0.5593969189794734,-918667776
2400,2,11,1,26.49197091301903,-918667776
2400,2,11,2,10.563576254993677,-918667776
2400,2,12,0,0.5170247760252096,-918667776
2400,2,12,1,24.853962957975455,-918667776
2400,2,12,2,10.781095341022592,-918667776
2400,2,13,0,0.4896811889484525,-918667776
2400,2,13,1,23.313558443973307,-918667776
