# HOSTNAME = host
openmp,n_threads,par_loop,rep,elapsed_time,result
True,10,0,7,0.6987232016399503,-918667776
True,10,0,8,0.62097252253443,-918667776
True,10,0,9,0.6032594945281744,-918667776
True,10,0,10,0.9597331508994102,-918667776
True,11,0,1,0.5865164678543806,-918667776
True,11,0,2,0.5840303907170892,-918667776
True,11,0,3,0.6080621527507901,-918667776
True,11,0,4,0.6735061453655362,-918667776
True,11,0,5,0.9117920519784093,-918667776
True,11,0,6,0.8523494824767113,-918667776
True,11,0,7,0.8127638380974531,-918667776
True,11,0,8,0.6131834825500846,-918667776
True,11,0,9,0.7166964067146182,-918667776
True,11,0,10,0.6807142877951264,-918667776
True,12,0,1,0.5951098063960671,-918667776
True,12,0,2,0.5460956376045942,-918667776
True,12,0,3,0.5919191939756274,-918667776
True,12,0,4,0.4554483462125063,-918667776
True,12,0,5,0.5257339384406805,-918667776
True,12,0,6,0.5295066479593515,-918667776
True,12,0,7,0.5628814240917563,-918667776
True,12,0,8,0.5568722523748875,-918667776
True,12,0,9,0.8387650288641453,-918667776
True,12,0,10,0.5729237049818039,-918667776
True,13,0,1,0.5419736756011844,-918667776
True,13,0,2,0.7036225572228432,-918667776
True,13,0,3,0.5415837382897735,-918667776
True,13,0,4,0.6393991904333234,-918667776
True,13,0,5,0.6956498883664608,-918667776
True,13,0,6,0.5294840941205621,-918667776
True,13,0,7,0.5381494238972664,-918667776
True,13,0,8,0.5332422442734241,-918667776
True,13,0,9,0.6209501437842846,-918667776
True,13,0,10,0.6747355619445443,-918667776
True,14,0,1,0.4486488988623023,-918667776
True,14,0,2,0.6207624115049839,-918667776
True,14,0,3,0.5966949500143528,-918667776
True,14,0,4,0.4445187011733651,-918667776
True,14,0,5,0.8151682745665312,-918667776
True,14,0,6,0.6973057612776756,-918667776
True,14,0,7,0.7128791967406869,-918667776
True,14,0,8,0.7478141179308295,-918667776
True,14,0,9,0.7677329601719975,-918667776
True,14,0,10,0.5900161620229483,-918667776
True,15,0,1,0.4442681763321161,-918667776
True,15,0,2,0.6708137448877096,-918667776
True,15,0,3,0.6428749244660139,-918667776
True,15,0,4,0.5395156713202596,-918667776
True,15,0,5,0.5551302451640368,-918667776
True,15,0,6,0.6291181957349181,-918667776
True,15,0,7,0.6282353112474084,-918667776
True,15,0,8,0.719645120203495,-918667776
True,15,0,9,0.5182688105851412,-918667776
True,15,0,10,0.4694012673571706,-918667776
True,16,0,1,0.613204488530755,-918667776
True,16,0,2,0.6795419408008456,-918667776
True,16,0,3,0.5682524647563696,-918667776
True,16,0,4,0.6111407270655036,-918667776
True,16,0,5,0.5926256217062473,-918667776
True,16,0,6,0.527681989595294,-918667776
True,16,0,7,0.6031183311715722,-918667776
True,16,0,8,0.43583437614142895,-918667776
True,16,0,9,0.5721093555912375,-918667776
True,16,0,10,0.5731726149097085,-918667776
True,17,0,1,0.5950232334434986,-918667776
True,17,0,2,0.5505089992657304,-918667776
True,17,0,3,0.5652010077610612,-918667776
True,17,0,4,0.5129272788763046,-918667776
True,17,0,5,0.5963855506852269,-918667776
True,17,0,6,0.5055205347016454,-918667776
True,17,0,7,0.4253843128681183,-918667776
True,17,0,8,0.6037435922771692,-918667776
True,17,0,9,0.5419906657189131,-918667776
True,17,0,10,0.6249312609434128,-918667776
True,18,0,1,0.5568301528692245,-918667776
True,18,0,2,0.5177758065983653,-918667776
True,18,0,3,0.48516124580055475,-918667776
True,18,0,4,0.504324285313487,-918667776
True,18,0,5,0.5718021905049682,-918667776
True,18,0,6,0.40045271161943674,-918667776
True,18,0,7,0.5771694490686059,-918667776
True,18,0,8,0.5756653174757957,-918667776
True,18,0,9,0.5696026496589184,-918667776
True,18,0,10,0.5484872777014971,-918667776
True,19,0,1,0.5956716276705265,-918667776
True,19,0,2,0.5660548750311136,-918667776
True,19,0,3,0.49132100865244865,-918667776
True,19,0,4,0.5611164169386029,-918667776
True,19,0,5,0.5049627246335149,-918667776
True,19,0,6,0.4931249786168337,-918667776
True,19,0,7,0.5335889803245664,-918667776
True,19,0,8,0.47357485815882683,-918667776
True,19,0,9,0.527192022651434,-918667776
True,19,0,10,0.49626718182116747,-918667776
True,20,0,1,0.5011187046766281,-918667776
True,20,0,2,0.37631152011454105,-918667776
True,20,0,3,0.5754803596064448,-918667776
True,20,0,4,0.5102989710867405,-918667776
True,20,0,5,0.4534006854519248,-918667776
True,20,0,6,0.5304800365120173,-918667776
True,20,0,7,0.4962029540911317,-918667776
True,20,0,8,0.5517696291208267,-918667776
True,20,0,9,0.45525200199335814,-918667776
True,20,0,10,0.5193100348114967,-918667776
True,1,1,1,87.66542169079185,-918667776
True,1,1,2,87.26236540079117,-918667776
True,1,1,3,88.29652039241046,-918667776
True,1,1,4,85.37826060503721,-918667776
True,1,1,5,76.66150199156255,-918667776
True,1,1,6,79.32770278956741,-918667776
True,1,1,7,79.42475671321154,-918667776
True,1,1,8,81.04793260339648,-918667776
True,1,1,9,81.44146229699254,-918667776
True,1,1,10,83.42449730448425,-918667776
True,2,1,1,67.77260591089725,-918667776
