# HOSTNAME=host
# N=12000
# DEBUG=0
# NUM_ITERS=20
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
1,6,10,14.91938813123852,-1839653588
1,7,1,9.923045620322227,-1839653588
1,7,2,12.951282568275928,-1839653588
1,7,3,13.096430667676032,-1839653588
1,7,4,14.025976384989917,-1839653588
1,7,5,8.825685682706535,-1839653588
1,7,6,13.175416677258909,-1839653588
1,7,7,15.917929095216095,-1839653588
1,7,8,10.31058816704899,-1839653588
1,7,9,14.389527268707752,-1839653588
1,7,10,14.561474916525185,-1839653588
1,8,1,12.944103660993278,-1839653588
1,8,2,12.601200365461409,-1839653588
1,8,3,10.989729344844818,-1839653588
1,8,4,12.823600880801678,-1839653588
1,8,5,16.83220057375729,-1839653588
1,8,6,11.270443825982511,-1839653588
1,8,7,10.924224856309593,-1839653588
1,8,8,11.93341308273375,-1839653588
1,8,9,10.510579777881503,-1839653588
1,8,10,11.990131482481956,-1839653588
1,9,1,10.056814158335328,-1839653588
1,9,2,11.262268004007638,-1839653588
1,9,3,12.852452820166945,-1839653588
1,9,4,13.854720015078783,-1839653588
1,9,5,16.8169079804793,-1839653588
1,9,6,10.667714077979326,-1839653588
1,9,7,4.287886021658778,-1839653588
1,9,8,10.09895319212228,-1839653588
1,9,9,12.81289076153189,-1839653588
1,9,10,12.880518383346498,-1839653588
1,10,1,9.16366961877793,-1839653588
1,10,2,9.476369581185281,-1839653588
1,10,3,9.836678090505302,-1839653588
1,10,4,10.645789379253983,-1839653588
1,10,5,5.671554057858884,-1839653588
1,10,6,10.492586976848543,-1839653588
1,10,7,8.285719173960388,-1839653588
1,10,8,10.931246523745358,-1839653588
1,10,9,9.01785442698747,-1839653588
1,10,10,5.657594985328615,-1839653588
1,11,1,10.792595848441124,-1839653588
1,11,2,4.569710754789412,-1839653588
1,11,3,8.53534637670964,-1839653588
1,11,4,5.8966434905305505,-1839653588
1,11,5,8.210753442719579,-1839653588
1,11,6,8.67888144031167,-1839653588
1,11,7,8.005281341262162,-1839653588
1,11,8,6.721484357491136,-1839653588
1,11,9,7.780026356689632,-1839653588
1,11,10,9.886650208383799,-1839653588
1,12,1,4.373683942481875,-1839653588
1,12,2,11.588659591972828,-1839653588
1,12,3,15.140992471016943,-1839653588
1,12,4,9.388299941085279,-1839653588
1,12,5,9.145516422577202,-1839653588
1,12,6,6.424559184350073,-1839653588
1,12,7,6.19360457919538,-1839653588
1,12,8,6.28516676556319,-1839653588
1,12,9,12.24447219260037,-1839653588
1,12,10,10.083854996599257,-1839653588
1,13,1,10.727467330172658,-1839653588
1,13,2,10.28899487759918,-1839653588
1,13,3,6.558726881630719,-1839653588
1,13,4,13.501665398478508,-1839653588
1,13,5,11.297505826689303,-1839653588
1,13,6,10.658050486817956,-1839653588
1,13,7,8.138107031583786,-1839653588
1,13,8,8.779344940558076,-1839653588
1,13,9,7.292599644511938,-1839653588
1,13,10,9.082737351767719,-1839653588
1,14,1,5.1746955048292875,-1839653588
1,14,2,8.602488914504647,-1839653588
1,14,3,12.808490832336247,-1839653588
1,14,4,9.790731434710324,-1839653588
1,14,5,6.920238313265145,-1839653588
1,14,6,7.698110738769174,-1839653588
1,14,7,12.699126332066953,-1839653588
1,14,8,9.40766066685319,-1839653588
1,14,9,9.174001347273588,-1839653588
1,14,10,8.908302648924291,-1839653588
1,15,1,16.22738315910101,-1839653588
1,15,2,6.183559665456414,-1839653588
1,15,3,6.081167615018785,-1839653588
1,15,4,7.1054767444729805,-1839653588
1,15,5,10.508048583753407,-1839653588
1,15,6,9.521272148936987,-1839653588
1,15,7,10.28078430145979,-1839653588
1,15,8,9.39072237815708,-1839653588
1,15,9,7.411004580557346,-1839653588
1,15,10,5.927418153733015,-1839653588
1,16,1,6.750473282299936,-1839653588
1,16,2,6.646814645268023,-1839653588
1,16,3,10.760008726269007,-1839653588
1,16,4,12.250161400064826,-1839653588
1,16,5,7.311875196173787,-1839653588
1,16,6,5.305227327160537,-1839653588
1,16,7,6.941545885056257,-1839653588
1,16,8,6.564510150812566,-1839653588
1,16,9,5.008962981402874,-1839653588
1,16,10,10.454786918126047,-1839653588
1,17,1,10.366612762212753,-1839653588
1,17,2,9.252300057560205,-1839653588
1,17,3,8.47734839655459,-1839653588
1,17,4,10.083234443329275,-1839653588
1,17,5,7.297564086504281,-1839653588
1,17,6,6.815296862274408,-1839653588
1,17,7,7.398332370445132,-1839653588
1,17,8,7.27433864492923,-1839653588
1,17,9,5.801704499870539,-1839653588
1,17,10,6.793936940841377,-1839653588
1,18,1,5.019490901380777,-1839653588
1,18,2,4.704633424989879,-1839653588
1,18,3,5.645116633735597,-1839653588
1,18,4,12.52135860081762,-1839653588
1,18,5,14.502694108523428,-1839653588
1,18,6,13.880646855570376,-1839653588
1,18,7,14.402746099047363,-1839653588
1,18,8,15.311111000366509,-1839653588
1,18,9,9.495890519581735,-1839653588
1,18,10,13.783406757749617,-1839653588
1,19,1,12.415064667351544,-1839653588
1,19,2,1.9376159738749266,-1839653588
1,19,3,2.221310369670391,-1839653588
1,19,4,1.8600293956696987,-1839653588
1,19,5,1.9306662594899535,-1839653588
1,19,6,2.162360854446888,-1839653588
1,19,7,2.2447952404618263,-1839653588
1,19,8,2.4591747261583805,-1839653588
1,19,9,2.2057835068553686,-1839653588
1,19,10,1.8594451444223523,-1839653588
1,20,1,2.1908762361854315,-1839653588
1,20,2,2.2818330619484186,-1839653588
1,20,3,2.3368292497470975,-1839653588
1,20,4,2.3052332419902086,-1839653588
1,20,5,2.3104289416223764,-1839653588
1,20,6,2.318319482728839,-1839653588
1,20,7,2.3409321745857596,-1839653588
1,20,8,2.488020702265203,-1839653588
1,20,9,2.3712240513414145,-1839653588
1,20,10,2.4864070005714893,-1839653588
2,1,1,9.781376061961055,-1839653588
2,1,2,7.367960654199123,-1839653588
2,1,3,7.259073797613382,-1839653588
2,1,4,7.660811673849821,-1839653588
2,1,5,7.24074665363878,-1839653588
2,1,6,7.31717623770237,-1839653588
2,1,7,7.294125537388027,-1839653588
2,1,8,7.294324127957225,-1839653588
2,1,9,7.56103075388819,-1839653588
2,1,10,7.343593533150852,-1839653588
2,2,1,6.480039905756712,-1839653588
2,2,2,6.57384723611176,-1839653588
2,2,3,9.400384871289134,-1839653588
2,2,4,8.049208140932024,-1839653588
2,2,5,9.181092963553965,-1839653588
2,2,6,8.645127827301621,-1839653588
